#1.4600 <= z < 1.6100
#   Wlo    Whi  f(X,W)    Errlo    Errhi
  0.82   0.93  0.3151   0.0469   0.0520
  0.93   1.08  0.1992   0.0295   0.0323
  1.08   1.37  0.1059   0.0154   0.0171
  1.37   2.42  0.0260   0.0040   0.0047

#2.5100 <= z < 2.9700
#   Wlo    Whi  f(X,W)    Errlo    Errhi
 -0.28   0.22  2.9754   0.4985  14.7634
  0.22   0.31  1.7065   0.6101   0.7992
  0.31   0.38  1.3174   0.3076   0.4144
  0.38   0.45  0.9093   0.2025   0.2123
  0.45   0.52  0.7206   0.1376   0.1463
  0.52   0.59  0.5055   0.0915   0.0892
  0.59   0.66  0.4606   0.0722   0.0787
  0.66   0.73  0.3657   0.0566   0.0620
  0.73   0.81  0.3314   0.0499   0.0544
  0.81   0.89  0.2896   0.0430   0.0472
  0.89   0.99  0.2083   0.0311   0.0335
  0.99   1.09  0.2059   0.0298   0.0328
  1.09   1.28  0.1085   0.0156   0.0173
  1.28   1.53  0.0760   0.0110   0.0122
  1.53   2.67  0.0153   0.0023   0.0028

#2.9700 <= z < 4.5500
#   Wlo    Whi  f(X,W)    Errlo    Errhi
#  0.04   0.22  2.2329   1.6323   4.2971
#  0.22   0.29  1.4512   0.4209   0.5524
#  0.29   0.36  0.8852   0.2203   0.2476
#  0.36   0.43  0.6482   0.1464   0.1534
#  0.43   0.49  0.4929   0.0941   0.0974
#  0.49   0.55  0.4446   0.0751   0.0813
#  0.55   0.61  0.3719   0.0588   0.0644
#  0.61   0.68  0.2880   0.0456   0.0481
#  0.68   0.75  0.2838   0.0425   0.0470
#  0.75   0.84  0.1881   0.0295   0.0324
#  0.84   0.93  0.1722   0.0259   0.0284
#  0.93   1.05  0.1261   0.0188   0.0207
#  1.05   1.22  0.0825   0.0121   0.0136
#  1.22   1.50  0.0499   0.0073   0.0082
#  1.50   2.66  0.0104   0.0016   0.0019

#1.4000 <= z < 4.6000
#   Wlo    Whi  f(X,W)    Errlo    Errhi
#  0.00   0.24  1.6779   1.1893   4.5794
#  0.24   0.29  1.4890   0.3169   0.3735
#  0.29   0.33  1.4432   0.1935   0.1943
#  0.33   0.37  1.3506   0.1370   0.1661
#  0.37   0.40  1.1931   0.1174   0.1183
#  0.40   0.44  1.0162   0.0891   0.0899
#  0.44   0.47  0.9609   0.0732   0.0704
#  0.47   0.49  0.9476   0.0621   0.0632
#  0.49   0.52  0.8283   0.0532   0.0542
#  0.52   0.55  0.8501   0.0506   0.0517
#  0.55   0.58  0.7991   0.0421   0.0432
#  0.58   0.60  0.7505   0.0393   0.0403
#  0.60   0.63  0.6445   0.0341   0.0350
#  0.63   0.66  0.6436   0.0335   0.0338
#  0.66   0.69  0.6265   0.0317   0.0326
#  0.69   0.72  0.5502   0.0281   0.0289
#  0.72   0.76  0.4550   0.0236   0.0238
#  0.76   0.79  0.4399   0.0219   0.0225
#  0.79   0.83  0.4012   0.0200   0.0206
#  0.83   0.88  0.3491   0.0174   0.0175
#  0.88   0.92  0.3644   0.0176   0.0182
#  0.92   0.96  0.2996   0.0146   0.0149
#  0.96   1.02  0.2469   0.0119   0.0123
#  1.02   1.08  0.2231   0.0108   0.0109
#  1.08   1.16  0.1893   0.0090   0.0093
#  1.16   1.24  0.1519   0.0074   0.0076
#  1.24   1.34  0.1320   0.0062   0.0064
#  1.34   1.49  0.0926   0.0044   0.0045
#  1.49   1.72  0.0558   0.0029   0.0028
#  1.72   3.18  0.0096   0.0008   0.0008
