# Equivalent width > 0.3: completeness is not good
# Probably underestimated by ~10%
#   zlo    zhi   dN/dX    Errlo    Errhi             C(z,W)
  1.46   1.61  0.6592   0.0161   0.0193       0.083
  1.61   1.70  0.7328   0.0164   0.0181	  0.126
  1.70   1.78  0.7547   0.0169   0.0182	  0.168
  1.78   1.87  0.7865   0.0169   0.0183	  0.174
  1.87   1.96  0.7869   0.0177   0.0188	  0.197
  1.96   2.08  0.7107   0.0162   0.0172	  0.233
  2.08   2.24  0.7129   0.0164   0.0175	  0.233
  2.24   2.51  0.6429   0.0147   0.0158	  0.205
  2.51   2.97  0.4469   0.0115   0.0130	  0.128
  2.97   4.55  0.3241   0.0070   0.0080	  0.151
